16730,18,2,"2.0","PK",3001,"16",,48.95,"SA PODRUMOM",704091,45250,"29","A",
16731,19,2,"2.0","PK",3001,"17",,48.95,,704091,45250,"29","A",
16732,24,2,"0.6","02",3001,"12",,52.60,"DRUGI ULAZ",704091,45296,"30",,
16733,25,2,"1.5","03",3001,"13",,43.52,"PRVI ULAZ",704091,45296,"30",,
16734,26,2,"1.5","03",3001,"14",,43.52,"PRVI ULAZ,NADGRADWA",704091,45296,"30",,
16735,27,2,"0.9","03",3001,"15",,23.79,"PRVI ULAZ",704091,45296,"30",,
16736,1,2,,"PR",3992,"BB",,112.00,,704091,45741,"2",,
16737,2,2,"0.9","PR",3001,"1",,20.46,"SA PODRUMOM",704091,45741,"2",,
16738,3,2,"0.9","PR",3001,"2",,34.15,"SA PODRUMOM",704091,45741,"2",,
16739,4,2,"0.9","PR",3001,"3",,19.45,"SA PODRUMOM",704091,45741,"2",,
16740,5,2,"1.0","PR",3001,"4",,41.00,"SA PODRUMOM",704091,45741,"2",,
16741,6,2,"1.0","01",3001,"5",,41.76,,704091,45741,"2",,
16742,7,2,"0.9","01",3001,"6",,22.07,,704091,45741,"2",,
16743,8,2,"2.0","01",3001,"7",,54.02,"SA PODRUMOM",704091,45741,"2",,
16744,1,2,,"PR",3342,"BB",,26.90,"PRODAVNICA SA MAGACINOM",704091,45238,"44",,
16745,2,2,"1.0","PK",3001,"BB",,32.76,,704091,45238,"44",,
16746,28,2,"1.0","03",3001,"16",,32.90,"PRVI ULAZ",704091,45296,"30",,
16747,9,2,"2.0","01",3001,"8",,54.00,"SA PODRUMOM",704091,45741,"2",,
16748,29,2,"1.0","03",3001,"17",,32.97,"PRVI ULAZ",704091,45296,"30",,
16749,10,2,"0.9","01",3001,"9",,22.67,"SA PODRUMOM",704091,45741,"2",,
16751,1,7,"2.0","PR",3001,"BB",,,"DEO KU]E SATOJI SE OD DVIJE SOBE [PAJZA I VC. IS.",704091,45362,"39",,
16752,11,2,"1.0","01",3001,"10",,41.76,"SA PODRUMOM",704091,45741,"2",,
16753,12,2,"2.0","02",3001,"11",,56.42,"SA PODRUMOM",704091,45741,"2",,
16754,2,7,"1.5","PR",3001,"BB",,,"DEO KU]E JEDNA SOBA I PREDSOBQA VC. Z-STRANA",704091,45362,"39",,
16755,13,2,"0.9","02",3001,"12",,19.75,"JEDNE SIBE, JEDNE KUHIWE I JEDNOG KUPATILA",704091,45741,"2",,
16756,14,2,"1.0","02",3001,"13",,41.76,"SA PODRUMOM",704091,45741,"2",,
16757,15,2,"2.0","02",3001,"14",,54.02,"SA PODRUMOM",704091,45741,"2",,
16758,30,2,"0.9","03",3001,"18",,23.79,"PRVI ULAZ",704091,45296,"30",,
16759,33,2,"1.0","03",3001,"16",,32.97,"DRUGI ULAZ",704091,45296,"30",,
16760,34,2,"1.0","03",3001,"17",,32.97,"DRUGI ULAZ",704091,45296,"30",,
16761,16,2,"0.9","02",3001,"15",,22.49,"SA PODRUMOM",704091,45741,"2",,
16762,35,2,"0.9","02",3001,"18",,23.97,"DRUGI ULAZ",704091,45296,"30",,
16763,36,2,"2.5","04",3001,"19",,60.11,"PRVI ULAZ",704091,45296,"30",,
16764,17,2,"1.0","02",3001,"16",,41.76,,704091,45741,"2",,
16765,18,2,"2.0","03",3001,"17",,56.42,"SA PODRUMOM",704091,45741,"2",,
16766,37,2,"2.5","04",3001,"20",,60.11,"PRVI ULAZ",704091,45296,"30",,
